Branch,Asset Name,Resource Category,Resource Type,Amount,Unit,Total Greenhouse Gases (t CO2-e),Billing Start date,Billing End Date,CoM or Supply Chain,Peak amount,Off-peak amount
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,33979.89231,kWh,0,7/1/2013 0:00,7/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,42534.32645,kWh,0,8/1/2013 0:00,8/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,26761.66792,kWh,0,9/1/2013 0:00,9/30/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,28155.47728,kWh,0,10/1/2013 0:00,10/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,23504.10623,kWh,0,11/1/2013 0:00,11/30/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,24008.36678,kWh,0,12/1/2013 0:00,12/31/2013 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,20992.81565,kWh,0,1/1/2014 0:00,1/31/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,24133.61849,kWh,0,2/1/2014 0:00,2/28/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,23078.84104,kWh,0,3/1/2014 0:00,3/31/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,27923.82942,kWh,0,4/1/2014 0:00,4/30/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,26382.08829,kWh,0,5/1/2014 0:00,5/31/2014 0:00,CoM,,
Property Services,Administration - Council House 2,Cogeneration electricity,Electricity,29080.13419,kWh,0,6/1/2014 0:00,6/30/2014 0:00,CoM,,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,32549.99,kWh,42965.9868,7/1/2013 0:00,7/31/2013 0:00,CoM,24750,7799.99
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,32762.63,kWh,43246.6716,8/1/2013 0:00,8/31/2013 0:00,CoM,21268.19,11494.44
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,16192.52,kWh,21374.1264,9/1/2013 0:00,9/30/2013 0:00,CoM,10214.57,5977.95
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,6874.07,kWh,9073.7724,10/1/2013 0:00,10/31/2013 0:00,CoM,1033.57,5840.5
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,16918.29,kWh,22332.1428,11/1/2013 0:00,11/30/2013 0:00,CoM,10019.08,6899.21
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,7470.88,kWh,9861.5616,12/1/2013 0:00,12/17/2013 0:00,CoM,4746.15,2724.73
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,6416.76,kWh,8470.1232,12/18/2013 0:00,1/31/2014 0:00,CoM,1078.23,5338.53
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,12250.7,kWh,16170.924,2/1/2014 0:00,2/28/2014 0:00,CoM,7557.1,4693.6
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,17181.96,kWh,22680.1872,7/1/2013 0:00,7/31/2013 0:00,CoM,11105.05,6076.91
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,16997.21,kWh,22436.3172,8/1/2013 0:00,8/31/2013 0:00,CoM,10965.75,6031.46
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,16383.17,kWh,21625.7844,9/1/2013 0:00,9/30/2013 0:00,CoM,9776,6607.17
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,15369.67,kWh,20287.9644,10/1/2013 0:00,10/31/2013 0:00,CoM,9479.71,5889.96
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,12214.64,kWh,16123.3248,11/1/2013 0:00,11/30/2013 0:00,CoM,7774.45,4440.19
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,7.68,kWh,10.14109091,6/29/2013 0:00,9/24/2013 0:00,CoM,7.68,0
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2030,kWh,2679.6,11/9/2013 0:00,12/5/2013 0:00,CoM,1080,950
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2570,kWh,3392.4,7/11/2013 0:00,8/8/2013 0:00,CoM,1320,1250
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2910,kWh,3841.2,8/9/2013 0:00,9/10/2013 0:00,CoM,1680,1230
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2090,kWh,2758.8,9/11/2013 0:00,10/8/2013 0:00,CoM,1200,890
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,3090,kWh,4119.289655,6/12/2013 0:00,7/10/2013 0:00,CoM,1870,1220
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2410,kWh,3181.2,10/9/2013 0:00,11/8/2013 0:00,CoM,1290,1120
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2312.98,kWh,3053.1336,10/25/2013 0:00,11/24/2013 0:00,CoM,1210.14,1102.84
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2684.2,kWh,3551.097185,6/27/2013 0:00,7/23/2013 0:00,CoM,1546.2,1138
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2512.66,kWh,3316.7112,8/26/2013 0:00,9/23/2013 0:00,CoM,1467.68,1044.98
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,3359.8,kWh,4434.936,7/24/2013 0:00,8/25/2013 0:00,CoM,1884.3,1475.5
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2335.7,kWh,3083.124,9/24/2013 0:00,10/24/2013 0:00,CoM,1311.1,1024.6
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2708,kWh,3574.56,12/6/2013 0:00,1/13/2014 0:00,CoM,1527,1181
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2838,kWh,3746.16,1/14/2014 0:00,2/11/2014 0:00,CoM,1968,870
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2574,kWh,3397.68,2/12/2014 0:00,3/13/2014 0:00,CoM,1245,1329
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,1780,kWh,2349.6,3/14/2014 0:00,4/9/2014 0:00,CoM,970,810
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2050,kWh,2706,4/10/2014 0:00,5/7/2014 0:00,CoM,1100,950
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2210,kWh,2917.2,5/8/2014 0:00,6/5/2014 0:00,CoM,1160,1050
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2333.6,kWh,3080.352,11/25/2013 0:00,12/29/2013 0:00,CoM,1290,1043.6
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,1653.5,kWh,2182.62,12/30/2013 0:00,1/19/2014 0:00,CoM,853,800.5
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2759.1,kWh,3642.012,1/20/2014 0:00,2/20/2014 0:00,CoM,1544.8,1214.3
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2766,kWh,3651.12,2/21/2014 0:00,3/21/2014 0:00,CoM,1462.3,1303.7
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2708,kWh,3574.56,3/22/2014 0:00,4/23/2014 0:00,CoM,1435.7,1272.3
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2845.4,kWh,3755.928,4/24/2014 0:00,5/22/2014 0:00,CoM,1563,1282.4
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,3838.9,kWh,5067.348,5/23/2014 0:00,6/20/2014 0:00,CoM,2265.6,1573.3
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,13223.512,kWh,17455.03584,12/1/2013 0:00,12/31/2013 0:00,CoM,8156.364,5067.148
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,14994.388,kWh,19792.59216,1/1/2014 0:00,1/31/2014 0:00,CoM,10269.928,4724.46
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,13990.336,kWh,18467.24352,2/1/2014 0:00,2/28/2014 0:00,CoM,8788.636,5201.7
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,12512.16,kWh,16516.0512,3/1/2014 0:00,3/31/2014 0:00,CoM,7552.232,4959.928
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,13663.016,kWh,18035.18112,4/1/2014 0:00,4/30/2014 0:00,CoM,8720.18,4942.836
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,15824.3,kWh,20888.076,5/1/2014 0:00,5/31/2014 0:00,CoM,9718.68,6105.62
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,17151.012,kWh,22639.33584,6/1/2014 0:00,6/30/2014 0:00,CoM,9951.1,7199.912
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,5140,kWh,6811.366292,6/8/2013 0:00,9/4/2013 0:00,CoM,5140,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,2676,kWh,3532.32,9/5/2013 0:00,12/5/2013 0:00,CoM,2676,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,2044,kWh,2698.08,12/6/2013 0:00,3/4/2014 0:00,CoM,2044,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,2940,kWh,3880.8,3/5/2014 0:00,6/6/2014 0:00,CoM,2940,
Arts and Culture,Arts Centre - Nth Melb Warehouse,Electricity,Electricity,1885.141,kWh,2498.553173,6/7/2013 0:00,9/3/2013 0:00,CoM,1242.065,643.076
Arts and Culture,Arts Centre - Nth Melb Warehouse,Electricity,Electricity,2767.924,kWh,3653.65968,9/4/2013 0:00,12/4/2013 0:00,CoM,1483.622,1284.302
Arts and Culture,Arts Centre - Nth Melb Warehouse,Electricity,Electricity,1717.236,kWh,2266.75152,12/5/2013 0:00,3/4/2014 0:00,CoM,777.477,939.759
Arts and Culture,Arts Centre - Nth Melb Warehouse,Electricity,Electricity,2298.449,kWh,3033.95268,3/5/2014 0:00,6/5/2014 0:00,CoM,1306.384,992.065
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2283.236853,kWh,3013.872646,6/6/2014 0:00,6/30/2014 0:00,CoM,,
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,1407.485371,kWh,1857.88069,6/21/2014 0:00,6/30/2014 0:00,CoM,,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,1618.77454,kWh,2136.782393,6/7/2014 0:00,6/30/2014 0:00,CoM,,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,22303.65341,kWh,29440.82251,3/1/2014 0:00,3/31/2014 0:00,CoM,,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,16824.07192,kWh,22207.77493,4/1/2014 0:00,4/30/2014 0:00,CoM,,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,21577.44827,kWh,28482.23171,5/1/2014 0:00,5/31/2014 0:00,CoM,,
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,22862.24896,kWh,30178.16863,6/1/2014 0:00,6/30/2014 0:00,CoM,,
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3826.07,kWh,5050.4124,7/1/2013 0:00,7/31/2013 0:00,CoM,3003.76,822.31
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3950.59,kWh,5214.7788,8/1/2013 0:00,8/31/2013 0:00,CoM,3037.43,913.16
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3512.13,kWh,4636.0116,9/1/2013 0:00,9/30/2013 0:00,CoM,2679.28,832.85
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3787.46,kWh,4999.4472,10/1/2013 0:00,10/31/2013 0:00,CoM,2808.77,978.69
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3470.76,kWh,4581.4032,11/1/2013 0:00,11/30/2013 0:00,CoM,2515.21,955.55
Community Services,Community Centre - Carlton Senior Citizens - Church Of All Nations,Electricity,Electricity,1162.5,kWh,1534.5,7/1/2013 0:00,12/31/2013 0:00,CoM,1162.5,0
Community Services,Community Centre - Southbank,Electricity,Electricity,12313.72,kWh,16254.1104,7/1/2013 0:00,7/31/2013 0:00,CoM,8901.81,3411.91
Community Services,Community Centre - Southbank,Electricity,Electricity,11960.87,kWh,15788.3484,8/1/2013 0:00,8/31/2013 0:00,CoM,8567.02,3393.85
Community Services,Community Centre - Southbank,Electricity,Electricity,13743.04,kWh,18140.8128,9/1/2013 0:00,9/30/2013 0:00,CoM,10308.86,3434.18
Community Services,Community Centre - Southbank,Electricity,Electricity,13442.05,kWh,17743.506,10/1/2013 0:00,10/31/2013 0:00,CoM,9617.73,3824.32
Community Services,Community Centre - Southbank,Electricity,Electricity,14519.46,kWh,19165.6872,11/1/2013 0:00,11/30/2013 0:00,CoM,10630.27,3889.19
Community Services,Community Centre - Southbank,Electricity,Electricity,14334.26,kWh,18921.2232,12/1/2013 0:00,12/31/2013 0:00,CoM,10208.22,4126.04
Community Services,Community Centre - Southbank,Electricity,Electricity,18762.97,kWh,24767.1204,1/1/2014 0:00,1/31/2014 0:00,CoM,14663.06,4099.91
Community Services,Community Centre - Southbank,Electricity,Electricity,20252.51,kWh,26733.3132,2/1/2014 0:00,2/28/2014 0:00,CoM,13595.54,6656.97
Community Services,Community Centre - Southbank,Electricity,Electricity,4557.56,kWh,6015.9792,7/1/2013 0:00,7/31/2013 0:00,CoM,2616.54,1941.02
Community Services,Community Centre - Southbank,Electricity,Electricity,4051.37,kWh,5347.8084,8/1/2013 0:00,8/31/2013 0:00,CoM,2179.49,1871.88
Community Services,Community Centre - Southbank,Electricity,Electricity,3559.28,kWh,4698.2496,9/1/2013 0:00,9/30/2013 0:00,CoM,1759,1800.28
Community Services,Community Centre - Southbank,Electricity,Electricity,3109.5,kWh,4104.54,10/1/2013 0:00,10/31/2013 0:00,CoM,1732,1377.5
Community Services,Community Centre - Southbank,Electricity,Electricity,2942.52,kWh,3884.1264,11/1/2013 0:00,11/30/2013 0:00,CoM,1567.93,1374.59
Community Services,Child Care - Hotham Hub,Electricity,Electricity,1200.17,kWh,1589.466522,6/12/2013 0:00,9/6/2013 0:00,CoM,912.59,287.58
Community Services,Child Care - Hotham Hub,Electricity,Electricity,1003.69,kWh,1324.8708,9/7/2013 0:00,12/6/2013 0:00,CoM,685.85,317.84
Community Services,Child Care - Melbourne City,Electricity,Electricity,5740,kWh,7639.539535,5/15/2013 0:00,8/8/2013 0:00,CoM,5740,0
Community Services,Child Care - Melbourne City,Electricity,Electricity,4363.66,kWh,5760.0312,8/9/2013 0:00,11/8/2013 0:00,CoM,4363.66,0
Community Services,Child Care - North Melbourne,Electricity,Electricity,5725.22,kWh,7557.2904,9/5/2013 0:00,12/4/2013 0:00,CoM,4840.74,884.48
Community Services,Child Care - North Melbourne,Electricity,Electricity,7202.07,kWh,9545.14344,6/7/2013 0:00,9/4/2013 0:00,CoM,6279.76,922.31
Community Services,Community Centre - South Yarra Senior Citizens,Electricity,Electricity,4902.89,kWh,6471.8148,9/10/2013 0:00,12/9/2013 0:00,CoM,4902.89,0
Community Services,Community Centre - South Yarra Senior Citizens,Electricity,Electricity,4265.32,kWh,5646.702045,6/14/2013 0:00,9/9/2013 0:00,CoM,4265.32,0
Community Services,Health Centre - Kensington,Electricity,Electricity,2325.02,kWh,3077.386022,6/15/2013 0:00,9/11/2013 0:00,CoM,1699.02,626
Community Services,Health Centre - Kensington,Electricity,Electricity,1959.94,kWh,2587.1208,9/12/2013 0:00,12/10/2013 0:00,CoM,1268.26,691.68
Community Services,Health Centre - North Melbourne,Electricity,Electricity,3150,kWh,4171.186047,6/13/2013 0:00,9/6/2013 0:00,CoM,1750,1400
Community Services,Health Centre - North Melbourne,Electricity,Electricity,2178.57,kWh,2875.7124,9/7/2013 0:00,12/6/2013 0:00,CoM,1343.04,835.53
Community Services,Health Centre - Powlett Reserve,Electricity,Electricity,1616.02,kWh,2133.1464,8/13/2013 0:00,11/8/2013 0:00,CoM,1616.02,0
Community Services,Health Centre - Powlett Reserve,Electricity,Electricity,2110.19,kWh,2807.712145,5/14/2013 0:00,8/12/2013 0:00,CoM,2110.19,0
Community Services,Child Care - Hotham Hub,Electricity,Electricity,882.15,kWh,1164.438,12/7/2013 0:00,3/11/2014 0:00,CoM,544.11,338.04
Community Services,Child Care - Hotham Hub,Electricity,Electricity,984.17,kWh,1299.1044,3/12/2014 0:00,6/11/2014 0:00,CoM,691.29,292.88
Community Services,Child Care - Melbourne City,Electricity,Electricity,4472.13,kWh,5903.2116,11/9/2013 0:00,2/11/2014 0:00,CoM,4472.13,0
Community Services,Child Care - Melbourne City,Electricity,Electricity,4639.98,kWh,6124.7736,2/12/2014 0:00,5/14/2014 0:00,CoM,4639.98,0
Community Services,Child Care - North Melbourne,Electricity,Electricity,5825.16,kWh,7689.2112,12/5/2013 0:00,3/6/2014 0:00,CoM,4882.73,942.43
Community Services,Child Care - North Melbourne,Electricity,Electricity,6351.88,kWh,8384.4816,3/7/2014 0:00,6/6/2014 0:00,CoM,5368.94,982.94
Community Services,Community Centre - South Yarra Senior Citizens,Electricity,Electricity,3605.96,kWh,4759.8672,12/10/2013 0:00,3/12/2014 0:00,CoM,3605.96,0
Community Services,Community Centre - South Yarra Senior Citizens,Electricity,Electricity,4634.27,kWh,6117.2364,3/13/2014 0:00,6/12/2014 0:00,CoM,4634.27,0
Community Services,Community Centre - Southbank,Electricity,Electricity,1.18,kWh,1.5576,1/22/2014 0:00,2/7/2014 0:00,CoM,1.18,0
Community Services,Community Centre - Southbank,Electricity,Electricity,1.69,kWh,2.2308,2/8/2014 0:00,5/12/2014 0:00,CoM,1.69,0
Community Services,Health Centre - Kensington,Electricity,Electricity,2242.1,kWh,2959.572,12/11/2013 0:00,3/14/2014 0:00,CoM,1685.5,556.6
Community Services,Health Centre - Kensington,Electricity,Electricity,2045.07,kWh,2699.4924,3/15/2014 0:00,6/16/2014 0:00,CoM,1431.66,613.41
Community Services,Health Centre - North Melbourne,Electricity,Electricity,3150.14,kWh,4158.1848,12/7/2013 0:00,3/11/2014 0:00,CoM,1861.16,1288.98
Community Services,Health Centre - North Melbourne,Electricity,Electricity,2226.14,kWh,2938.5048,3/12/2014 0:00,6/11/2014 0:00,CoM,1557.62,668.52
Community Services,Health Centre - Powlett Reserve,Electricity,Electricity,1472.34,kWh,1943.4888,11/9/2013 0:00,2/11/2014 0:00,CoM,1472.34,0
Community Services,Health Centre - Powlett Reserve,Electricity,Electricity,1408.32,kWh,1858.9824,2/12/2014 0:00,5/14/2014 0:00,CoM,1408.32,0
Community Services,Community Centre - Southbank,Electricity,Electricity,6933.05,kWh,9151.626,11/14/2013 0:00,2/14/2014 0:00,CoM,2154.85,4778.2
Community Services,Community Centre - Southbank,Electricity,Electricity,6970.88,kWh,9201.5616,2/15/2014 0:00,5/19/2014 0:00,CoM,2118.89,4851.99
Community Services,Child Care - Melbourne City,Electricity,Electricity,5558,kWh,7363.114889,5/15/2014 0:00,8/12/2014 0:00,CoM,5557.53,0
Community Services,Health Centre - Powlett Reserve,Electricity,Electricity,2155,kWh,2854.896111,5/15/2014 0:00,8/12/2014 0:00,CoM,2154.74,0
Community Services,Community Centre - Southbank,Electricity,Electricity,5567,kWh,7377.540227,5/20/2014 0:00,8/15/2014 0:00,CoM,1769.83,3797.23
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3191.96,kWh,4213.3872,12/1/2013 0:00,12/31/2013 0:00,CoM,2285.115,906.845
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3357.075,kWh,4431.339,1/1/2014 0:00,1/31/2014 0:00,CoM,2401.565,955.51
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3529.33,kWh,4658.7156,2/1/2014 0:00,2/28/2014 0:00,CoM,2614.71,914.62
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3647.155,kWh,4814.2446,3/1/2014 0:00,3/31/2014 0:00,CoM,2576.1,1071.055
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3403.7,kWh,4492.884,4/1/2014 0:00,4/30/2014 0:00,CoM,2621.7,782
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3682.675,kWh,4861.131,5/1/2014 0:00,5/31/2014 0:00,CoM,2924.455,758.22
Community Services,Child Care - Lady Huntingfield,Electricity,Electricity,3656.02,kWh,4825.9464,6/1/2014 0:00,6/30/2014 0:00,CoM,2829.105,826.915
Community Services,Community Centre - Southbank,Electricity,Electricity,2593.332,kWh,3423.19824,12/1/2013 0:00,12/31/2013 0:00,CoM,1404.802,1188.53
Community Services,Community Centre - Southbank,Electricity,Electricity,2618.387,kWh,3456.27084,1/1/2014 0:00,1/31/2014 0:00,CoM,1525.812,1092.575
Community Services,Community Centre - Southbank,Electricity,Electricity,2641.084,kWh,3486.23088,2/1/2014 0:00,2/28/2014 0:00,CoM,1502.83,1138.254
Community Services,Community Centre - Southbank,Electricity,Electricity,2565.368,kWh,3386.28576,3/1/2014 0:00,3/31/2014 0:00,CoM,1295.775,1269.593
Community Services,Community Centre - Southbank,Electricity,Electricity,2780.798,kWh,3670.65336,4/1/2014 0:00,4/30/2014 0:00,CoM,1511.535,1269.263
Community Services,Community Centre - Southbank,Electricity,Electricity,4705.537,kWh,6211.30884,5/1/2014 0:00,5/31/2014 0:00,CoM,2519.582,2185.955
Community Services,Community Centre - Southbank,Electricity,Electricity,5052.488,kWh,6669.28416,6/1/2014 0:00,6/30/2014 0:00,CoM,2592.488,2460
Community Services,Community Centre - Southbank,Electricity,Electricity,0.039,kWh,0.051874937,5/22/2013 0:00,8/8/2013 0:00,CoM,0.039,
Community Services,Community Centre - Southbank,Electricity,Electricity,0.552,kWh,0.72864,8/9/2013 0:00,11/8/2013 0:00,CoM,0.552,
Community Services,Community Centre - Southbank,Electricity,Electricity,2.064,kWh,2.72448,11/9/2013 0:00,1/21/2014 0:00,CoM,2.064,
Community Services,Health Centre - Kensington,Electricity,Electricity,304.5848936,kWh,402.0520596,6/17/2014 0:00,6/30/2014 0:00,CoM,,
Community Services,Community Centre - Southbank,Electricity,Electricity,0.539361702,kWh,0.711957447,6/1/2014 0:00,6/30/2014 0:00,CoM,,
Community Services,Child Care - North Melbourne,Electricity,Electricity,1862.480277,kWh,2458.473966,6/7/2014 0:00,6/30/2014 0:00,CoM,,
Community Services,Community Centre - South Yarra Senior Citizens,Electricity,Electricity,894.9336165,kWh,1181.312374,6/13/2014 0:00,6/30/2014 0:00,CoM,,
Community Services,Child Care - Hotham Hub,Electricity,Electricity,305.3113689,kWh,403.011007,6/12/2014 0:00,6/30/2014 0:00,CoM,,
Community Services,Child Care - Central Carlton,Electricity,Electricity,8215.976845,kWh,10845.08944,8/1/2013 0:00,8/31/2013 0:00,CoM,,
Community Services,Child Care - Central Carlton,Electricity,Electricity,7950.945334,kWh,10495.24784,9/1/2013 0:00,9/30/2013 0:00,CoM,,
Community Services,Child Care - Central Carlton,Electricity,Electricity,5239.551447,kWh,6916.20791,2/1/2014 0:00,2/28/2014 0:00,CoM,,
Community Services,Child Care - Central Carlton,Electricity,Electricity,5800.931959,kWh,7657.230186,3/1/2014 0:00,3/31/2014 0:00,CoM,,
Community Services,Child Care - Central Carlton,Electricity,Electricity,374.2536748,kWh,494.0148507,4/1/2014 0:00,4/2/2014 0:00,CoM,,
Community Services,Health Centre - North Melbourne,Electricity,Electricity,676.8302526,kWh,893.4159334,6/12/2014 0:00,6/30/2014 0:00,CoM,,
Community Services,Community Centre - Southbank,Electricity,Electricity,29863.26062,kWh,39419.50402,3/1/2014 0:00,3/31/2014 0:00,CoM,,
Community Services,Community Centre - Southbank,Electricity,Electricity,22346.44032,kWh,29497.30122,4/1/2014 0:00,4/30/2014 0:00,CoM,,
Community Services,Community Centre - Southbank,Electricity,Electricity,18527.66743,kWh,24456.52101,5/1/2014 0:00,5/31/2014 0:00,CoM,,
Community Services,Community Centre - Southbank,Electricity,Electricity,16080.39742,kWh,21226.12459,6/1/2014 0:00,6/30/2014 0:00,CoM,,
Community Strengthening,Community Centre - Carlton Family Resource Centre,Electricity,Electricity,6072.46,kWh,8019.442488,6/30/2013 0:00,7/31/2013 0:00,CoM,3825.64,2246.82
Community Strengthening,Community Centre - Carlton Family Resource Centre,Electricity,Electricity,5900.2,kWh,7788.264,8/1/2013 0:00,8/31/2013 0:00,CoM,3575.12,2325.08
Community Strengthening,Community Centre - Carlton Family Resource Centre,Electricity,Electricity,6255.74,kWh,8257.5768,9/1/2013 0:00,9/30/2013 0:00,CoM,3483.02,2772.72
Community Strengthening,Community Centre - Kathleen Syme,Electricity,Electricity,874.38,kWh,1154.1816,7/1/2013 0:00,7/31/2013 0:00,CoM,427.18,447.2
Community Strengthening,Community Centre - Docklands Hub,Electricity,Electricity,16030.95,kWh,21160.854,9/10/2013 0:00,12/9/2013 0:00,CoM,11501.85,4529.1
Community Strengthening,Community Centre - Docklands Hub,Electricity,Electricity,19671.87,kWh,26046.44001,6/13/2013 0:00,9/9/2013 0:00,CoM,13752.9,5918.97
Community Strengthening,Community Centre - Jean Mckendry,Electricity,Electricity,10685.88,kWh,14152.03556,6/12/2013 0:00,9/6/2013 0:00,CoM,10685.88,0
Community Strengthening,Community Centre - Jean Mckendry,Electricity,Electricity,8521.25,kWh,11248.05,9/7/2013 0:00,12/6/2013 0:00,CoM,8521.25,0
Community Strengthening,Community Centre - Jean Mckendry,Electricity,Electricity,6367.4,kWh,8404.968,9/7/2013 0:00,12/6/2013 0:00,CoM,3583.74,2783.66
Community Strengthening,Community Centre - Jean Mckendry,Electricity,Electricity,6990,kWh,9257.331034,6/12/2013 0:00,9/6/2013 0:00,CoM,4231,2759
Community Strengthening,Community Centre - Kensington,Electricity,Electricity,6100,kWh,8052,9/14/2013 0:00,12/13/2013 0:00,CoM,6100,0
Community Strengthening,Community Centre - Kensington,Electricity,Electricity,6300,kWh,8334.613636,6/18/2013 0:00,9/13/2013 0:00,CoM,6300,0
Community Strengthening,Community Centre - North Melbourne,Electricity,Electricity,3480,kWh,4593.6,9/7/2013 0:00,12/5/2013 0:00,CoM,3480,0
Community Strengthening,Community Centre - North Melbourne,Electricity,Electricity,4910,kWh,6502.645977,6/12/2013 0:00,9/6/2013 0:00,CoM,4910,0
Community Strengthening,Community Centre - North Melbourne,Electricity,Electricity,17860,kWh,23575.2,9/7/2013 0:00,12/5/2013 0:00,CoM,17860,0
Community Strengthening,Community Centre - North Melbourne,Electricity,Electricity,21210,kWh,28089.84138,6/12/2013 0:00,9/6/2013 0:00,CoM,21210,0
Community Strengthening,Lease - 40 Bellair Street - Moonee Valley Learning And Employment Centre,Electricity,Electricity,1946.93,kWh,2571.260137,6/28/2013 0:00,9/24/2013 0:00,CoM,1946.93,0
Community Strengthening,Lease - 40 Bellair Street - Moonee Valley Learning And Employment Centre,Electricity,Electricity,2236.5,kWh,2952.18,9/25/2013 0:00,12/23/2013 0:00,CoM,2236.5,0
Community Strengthening,Library - East Melbourne,Electricity,Electricity,8591.74,kWh,11341.0968,7/26/2013 0:00,8/27/2013 0:00,CoM,6167.36,2424.38
Community Strengthening,Library - East Melbourne,Electricity,Electricity,9259.15,kWh,12252.94183,6/26/2013 0:00,7/25/2013 0:00,CoM,6979.13,2280.02
Community Strengthening,Library - East Melbourne,Electricity,Electricity,6028.36,kWh,7957.4352,9/26/2013 0:00,10/24/2013 0:00,CoM,4499.64,1528.72
